id_x,user_id_x,risk_reward_ratio,max_drawdown,id_y,user_id_y,trade_id,timestamp,user_id,id,created_at,confidence_score,trade_duration,outcome_encoded,journal_length,instr_US30,strategy_scalping
1,1,1.0,0.0,,,,,1,,,0.8000000000000002,,1,1,True,True
2,2,1.0,0.0,,,,,2,1.0,2025-08-26 10:05:42.903632,0.8,,1,2,True,True
3,3,1.0,0.0,,,,,3,2.0,2025-08-26 10:12:07.964466,0.8,,1,2,True,True
4,4,2.0,50.0,,,,,4,3.0,2025-08-26 12:25:26.853443,0.8,,1,2,True,True
5,5,2.0,50.0,,,,,5,4.0,2025-08-26 12:26:55.557162,0.8,,1,2,True,True
6,6,2.0,50.0,,,,,6,5.0,2025-08-26 12:42:23.782475,0.8,,1,2,True,True
7,7,2.0,50.0,,,,,7,6.0,2025-08-26 12:58:27.208060,0.8,,1,2,True,True
8,9,2.0,50.0,,,,,9,7.0,2025-08-26 15:37:19.471368,0.8,,1,2,True,True
9,10,2.0,50.0,,,,,10,8.0,2025-08-27 07:44:32.345506,0.8,,1,2,True,True
10,11,2.0,50.0,,,,,11,9.0,2025-08-27 11:59:38.389716,0.8,,1,2,True,True
11,12,2.0,50.0,,,,,12,10.0,2025-08-27 13:41:05.771240,0.8,,1,2,True,True
12,13,2.0,50.0,,,,,13,11.0,2025-08-27 15:09:40.427040,0.8,,1,2,True,True
13,14,2.0,50.0,,,,,14,12.0,2025-08-28 11:44:07.506941,0.8,,1,2,True,True
14,15,2.0,50.0,,,,,15,13.0,2025-08-28 11:44:51.478095,0.8,,1,2,True,True
